f_qual,f_annee_construction,f_CuisineQual,f_cheminee,f_Quartier,f_surface_habitable,f_nb_places,f_surface_sous_sol,f_surface_1er_etage,f_nb_salle_bain,f_prix
6,1950-1980,TA,0,Sawyer,1902,2.0,0.0,1318,2,112000
5,1950-1980,Gd,0,Sawyer,1155,2.0,1109.0,1155,1,148000
5,1950-1980,TA,1,Sawyer,894,1.0,894.0,894,1,138500
5,1950-1980,TA,0,Sawyer,900,1.0,882.0,900,1,122000
5,1950-1980,TA,0,Sawyer,1040,1.0,1040.0,1040,1,133000
5,1950-1980,TA,0,Sawyer,1040,1.0,1040.0,1040,1,127000
6,1950-1980,TA,1,Sawyer,1494,2.0,1208.0,1494,2,169000
7,1980-2000,Gd,1,NoRidge,1923,2.0,750.0,1061,2,190000
8,1980-2000,Gd,1,NoRidge,2349,3.0,1231.0,1251,2,362500
8,1980-2000,Gd,1,NoRidge,2225,3.0,1390.0,1402,2,285000
7,après 2000,Gd,1,Somerst,1488,2.0,1488.0,1488,2,260000
7,après 2000,Gd,0,Somerst,1680,2.0,840.0,840,2,190000
7,après 2000,Gd,0,Somerst,1200,2.0,600.0,600,2,155000
7,après 2000,Gd,0,Somerst,1200,2.0,600.0,600,2,151000
7,après 2000,Gd,0,Somerst,1200,2.0,600.0,600,2,149500
6,après 2000,Gd,0,Somerst,1236,2.0,600.0,600,2,152000
7,après 2000,Gd,1,Somerst,1478,2.0,1470.0,1478,2,222000
6,1980-2000,Gd,0,Somerst,1573,2.0,756.0,769,2,177500
6,1980-2000,Gd,0,Somerst,1512,2.0,756.0,756,2,177000
7,1980-2000,Gd,0,Somerst,1416,2.0,696.0,696,2,155000
7,après 2000,Gd,0,Somerst,1080,2.0,530.0,530,2,147110
8,après 2000,Gd,1,Somerst,1418,3.0,1642.0,1418,1,267916
8,1980-2000,Gd,1,Somerst,1848,2.0,975.0,975,2,254000
8,1950-1980,Gd,1,Greens,788,2.0,728.0,788,1,155000
8,1950-1980,Gd,1,Greens,1226,2.0,1226.0,1226,1,206000
6,1950-1980,Gd,0,Sawyer,1479,2.0,725.0,725,2,130500
7,après 2000,Gd,1,Somerst,1492,2.0,1492.0,1492,2,230000
6,1950-1980,TA,0,NWAmes,1829,2.0,1829.0,1829,2,218500
6,1980-2000,Gd,1,NWAmes,2495,2.0,1280.0,1280,2,243500
6,1950-1980,Gd,1,NWAmes,1610,2.0,1610.0,1610,2,205000
6,1950-1980,TA,1,NWAmes,1891,2.0,1224.0,1287,3,212500
7,1980-2000,TA,1,NWAmes,1714,2.0,980.0,980,2,196500
6,1950-1980,Gd,1,NWAmes,1381,2.0,1161.0,1381,1,197500
6,1950-1980,TA,0,NWAmes,1645,2.0,715.0,930,1,171000
5,1950-1980,TA,0,NAmes,1232,2.0,1232.0,1232,1,142250
6,1950-1980,TA,1,NWAmes,1328,2.0,1328.0,1328,1,143000
4,1950-1980,TA,0,NAmes,1225,0.0,950.0,1225,1,128950
5,1950-1980,TA,0,NAmes,1209,2.0,1209.0,1209,1,159000
5,1950-1980,Gd,0,NAmes,1510,2.0,1510.0,1510,2,178900
6,1950-1980,TA,0,NAmes,1775,2.0,533.0,1131,2,136300
5,1950-1980,TA,1,NAmes,1152,2.0,1152.0,1152,1,180500
6,1950-1980,Gd,0,NAmes,1054,2.0,936.0,1054,1,137500
5,1950-1980,TA,0,NAmes,1728,0.0,1728.0,1728,2,84900
5,1900-1950,Gd,0,NAmes,1078,1.0,1078.0,1078,1,142125
5,1950-1980,TA,1,NAmes,2461,2.0,1140.0,1929,2,197600
6,1900-1950,TA,1,NAmes,1556,2.0,782.0,1019,2,172500
5,1950-1980,TA,0,BrkSide,858,0.0,858.0,858,1,116500
3,1900-1950,Fa,0,BrkSide,1306,0.0,728.0,1306,1,76500
5,1950-1980,TA,0,NAmes,1063,1.0,1056.0,1063,1,128000
6,1950-1980,TA,1,NAmes,1520,1.0,1156.0,1520,1,153000
5,1950-1980,TA,1,NAmes,1268,1.0,1268.0,1268,1,132000
6,1950-1980,Gd,1,NAmes,1128,1.0,1080.0,1128,1,178000
5,1950-1980,TA,0,NAmes,2274,2.0,1105.0,1105,2,154300
7,1950-1980,TA,1,NAmes,2207,2.0,1947.0,2207,2,180000
6,1950-1980,Gd,1,NAmes,1888,2.0,1517.0,1888,2,190000
5,1950-1980,TA,0,NAmes,1604,2.0,1604.0,1604,2,135000
7,après 2000,Gd,0,NAmes,1480,2.0,1480.0,1480,2,214000
5,1950-1980,TA,0,NAmes,1143,1.0,1143.0,1143,1,136000
5,1950-1980,Gd,1,NAmes,1700,2.0,1398.0,1700,1,165500
5,1950-1980,TA,0,NAmes,1314,1.0,1314.0,1314,1,145000
6,1950-1980,TA,0,NAmes,1194,1.0,1194.0,1194,1,148000
5,1950-1980,TA,0,NAmes,1188,2.0,1188.0,1188,1,142000
5,1950-1980,TA,1,NAmes,1264,2.0,1268.0,1264,1,167500
5,1950-1980,TA,0,NAmes,1206,1.0,1206.0,1206,1,108538
6,1950-1980,TA,1,NAmes,1580,2.0,1244.0,1580,1,159500
4,1950-1980,TA,0,NAmes,1337,1.0,832.0,832,1,108000
5,1950-1980,Fa,0,NAmes,1064,1.0,864.0,1064,1,135000
5,1950-1980,TA,0,NAmes,972,1.0,972.0,972,1,122500
5,1950-1980,TA,0,NAmes,988,1.0,988.0,988,1,119000
5,1950-1980,Gd,0,NAmes,1057,1.0,1057.0,1057,1,109000
4,1900-1950,TA,0,NAmes,985,2.0,576.0,985,1,105000
5,1950-1980,TA,1,NAmes,827,1.0,0.0,827,1,107500
5,1950-1980,TA,0,NAmes,1086,2.0,1086.0,1086,1,144900
5,1950-1980,TA,0,NAmes,936,1.0,936.0,936,1,129000
6,1900-1950,TA,1,NAmes,1458,1.0,912.0,912,1,97500
6,1950-1980,TA,0,OldTown,1056,2.0,1056.0,1056,0,144000
5,1950-1980,Gd,1,NAmes,1287,2.0,1063.0,1287,1,162000
7,1950-1980,Gd,1,NAmes,2978,2.0,710.0,1898,2,242000
6,1900-1950,TA,0,NAmes,1224,1.0,816.0,816,1,132000
5,1950-1980,Gd,0,NAmes,1246,1.0,1246.0,1246,1,154000
5,1950-1980,TA,0,NAmes,1385,2.0,910.0,910,2,166000
5,1950-1980,Gd,0,NAmes,900,2.0,900.0,900,1,134800
6,1950-1980,TA,0,NAmes,1116,2.0,1116.0,1116,1,160000
5,1950-1980,TA,0,NAmes,1175,2.0,1175.0,1175,1,148000
6,1950-1980,TA,1,NAmes,1395,2.0,1395.0,1395,1,192000
6,1950-1980,TA,1,NAmes,1839,2.0,756.0,1051,1,155000
4,avant 1900,TA,1,OldTown,1844,1.0,709.0,1157,1,80400
4,1900-1950,TA,0,OldTown,1140,0.0,576.0,792,1,96500
5,1900-1950,TA,1,OldTown,936,0.0,936.0,936,1,109500
5,1900-1950,TA,1,OldTown,1028,2.0,1008.0,1028,1,115000
5,1950-1980,Gd,0,OldTown,1347,2.0,1347.0,1347,1,143000
3,1900-1950,TA,0,OldTown,1605,1.0,840.0,840,2,107400
4,1900-1950,TA,0,OldTown,747,1.0,747.0,747,1,80000
5,1900-1950,Gd,1,OldTown,804,1.0,788.0,804,1,119000
5,1900-1950,TA,0,OldTown,1316,2.0,926.0,926,1,130000
6,1900-1950,Fa,0,OldTown,1251,1.0,827.0,827,1,119000
5,1900-1950,Gd,1,OldTown,1633,1.0,1027.0,1027,1,129000
5,1900-1950,TA,0,OldTown,1245,1.0,1008.0,1060,1,100000
2,1900-1950,TA,1,OldTown,832,2.0,678.0,832,1,12789
6,1900-1950,TA,0,OldTown,720,2.0,624.0,720,1,105900
8,avant 1900,Gd,0,OldTown,1566,1.0,930.0,930,2,150000
5,1900-1950,TA,0,OldTown,1652,1.0,686.0,966,2,139000
8,avant 1900,Gd,0,OldTown,2268,2.0,346.0,1157,3,240000
5,1900-1950,Fa,0,OldTown,2256,0.0,840.0,1128,2,76500
6,1950-1980,TA,0,OldTown,1236,2.0,912.0,1236,1,149700
4,1900-1950,TA,0,OldTown,1363,2.0,622.0,741,1,125500
4,avant 1900,TA,0,OldTown,2290,2.0,777.0,1246,2,122500
6,1900-1950,TA,0,OldTown,1470,2.0,738.0,868,1,140750
5,1900-1950,TA,0,BrkSide,1612,1.0,988.0,1030,1,128500
7,1900-1950,Gd,1,BrkSide,2068,1.0,1108.0,1160,1,209500
4,1900-1950,Gd,0,BrkSide,765,1.0,765.0,765,1,87000
6,1900-1950,TA,0,BrkSide,1132,1.0,608.0,608,1,134000
6,1900-1950,TA,1,BrkSide,1196,2.0,572.0,848,1,128000
5,1900-1950,Gd,1,BrkSide,1453,1.0,835.0,955,1,132000
6,1900-1950,TA,0,BrkSide,1416,1.0,780.0,780,1,139900
5,1900-1950,TA,0,BrkSide,1040,2.0,528.0,548,1,123900
5,1900-1950,TA,1,BrkSide,1536,2.0,928.0,928,2,138400
6,1900-1950,TA,1,OldTown,1068,1.0,1124.0,1068,1,109500
7,1900-1950,TA,0,OldTown,1710,2.0,576.0,902,2,140000
4,1900-1950,TA,1,OldTown,1962,2.0,888.0,888,1,149500
6,1900-1950,Gd,0,OldTown,1560,0.0,780.0,780,1,159900
6,1900-1950,TA,0,OldTown,1324,1.0,662.0,662,1,122000
5,1950-1980,TA,0,IDOTRR,816,2.0,816.0,816,1,110000
4,1900-1950,Fa,0,IDOTRR,1092,0.0,0.0,372,2,55000
5,avant 1900,Gd,1,OldTown,1812,2.0,360.0,1032,2,140000
7,1900-1950,TA,1,ClearCr,2403,1.0,1032.0,1207,2,244400
5,1950-1980,TA,1,ClearCr,1675,1.0,1422.0,1675,2,173000
5,1900-1950,Po,0,ClearCr,1224,1.0,689.0,725,1,107500
5,1900-1950,TA,0,SWISU,1392,0.0,1212.0,1212,1,100000
6,1900-1950,TA,0,SWISU,919,1.0,600.0,600,1,95000
5,1900-1950,TA,1,SWISU,1680,2.0,856.0,936,2,114900
4,1950-1980,TA,0,Sawyer,1832,0.0,1832.0,1832,2,136000
4,1950-1980,TA,0,Sawyer,1768,0.0,1768.0,1768,2,136500
5,1950-1980,TA,0,Sawyer,1039,2.0,1039.0,1039,1,131500
5,1950-1980,TA,1,Sawyer,1392,2.0,1392.0,1392,1,121500
5,1950-1980,TA,1,Sawyer,912,1.0,912.0,912,1,125000
5,1950-1980,Gd,1,Sawyer,1060,1.0,1060.0,1060,1,154000
5,1950-1980,Gd,0,Sawyer,892,1.0,864.0,892,1,137900
6,1950-1980,TA,0,Sawyer,1352,1.0,663.0,663,1,158000
5,1950-1980,TA,0,Sawyer,864,1.0,864.0,864,1,137250
5,1950-1980,TA,1,Sawyer,1373,2.0,1319.0,1373,1,160250
5,1950-1980,TA,1,Sawyer,1440,2.0,720.0,720,1,163000
6,1950-1980,TA,1,Sawyer,1386,2.0,672.0,672,2,158900
7,1980-2000,Gd,0,ClearCr,2260,2.0,1306.0,1306,2,328000
7,1950-1980,TA,1,ClearCr,1483,2.0,1420.0,1483,1,270000
4,1900-1950,TA,0,Sawyer,756,2.0,660.0,756,1,85000
4,1900-1950,Gd,0,Sawyer,1067,2.0,1067.0,1067,2,128000
7,1950-1980,Gd,1,ClearCr,1524,2.0,1332.0,1332,0,260000
6,1950-1980,Gd,1,ClearCr,1981,2.0,1117.0,1117,2,230000
3,1900-1950,Fa,1,Edwards,1610,1.0,972.0,1052,2,124000
5,1900-1950,TA,0,Edwards,835,1.0,458.0,835,1,83000
6,1900-1950,Gd,1,Edwards,1074,1.0,663.0,1074,1,144500
5,1950-1980,TA,0,Edwards,1144,1.0,1144.0,1144,1,129000
4,1900-1950,TA,1,Edwards,1531,1.0,756.0,1169,1,127000
5,1950-1980,TA,0,Edwards,1172,1.0,1172.0,1172,1,128000
6,après 2000,Gd,0,Edwards,1212,2.0,1212.0,1212,2,186000
7,après 2000,Gd,1,Edwards,1508,2.0,1508.0,1508,1,308030
5,1950-1980,TA,0,Edwards,1298,2.0,1250.0,1298,2,114000
4,1900-1950,Gd,0,Edwards,930,1.0,0.0,930,1,84900
6,1980-2000,Gd,1,SawyerW,1732,2.0,741.0,977,2,178000
7,1980-2000,Gd,1,SawyerW,1433,2.0,1433.0,1433,1,270000
6,1980-2000,Gd,1,SawyerW,1802,4.0,946.0,964,2,218000
7,1980-2000,Gd,1,SawyerW,1949,2.0,1050.0,1062,2,236000
6,1980-2000,Gd,0,SawyerW,996,2.0,936.0,996,1,147000
8,après 2000,Gd,0,CollgCr,1694,3.0,1694.0,1694,2,245350
7,après 2000,Gd,0,CollgCr,1208,2.0,1187.0,1208,2,206000
7,après 2000,Gd,0,CollgCr,1226,3.0,1226.0,1226,2,198900
7,après 2000,Gd,0,CollgCr,1222,2.0,1222.0,1222,2,187000
7,1980-2000,Gd,1,SawyerW,3222,3.0,1673.0,1699,3,320000
6,avant 1900,TA,0,SawyerW,1445,2.0,676.0,831,2,138500
6,1950-1980,TA,0,ClearCr,1052,2.0,1010.0,1052,1,155000
5,1980-2000,TA,0,CollgCr,965,2.0,870.0,965,1,159000
7,1980-2000,TA,1,CollgCr,1692,2.0,878.0,892,2,191000
6,1980-2000,Gd,0,CollgCr,1682,2.0,804.0,804,2,200500
5,1950-1980,TA,0,CollgCr,1026,1.0,1026.0,1026,1,150000
6,1950-1980,TA,0,CollgCr,1392,1.0,689.0,689,1,161750
5,1950-1980,TA,0,CollgCr,894,1.0,894.0,894,1,128200
5,1950-1980,TA,0,CollgCr,876,2.0,876.0,876,1,127000
8,après 2000,Gd,1,CollgCr,1978,3.0,1978.0,1978,2,318000
8,après 2000,Gd,1,CollgCr,1601,2.0,1581.0,1601,2,272000
7,après 2000,Gd,1,CollgCr,1829,2.0,941.0,941,2,237000
7,1980-2000,Gd,1,CollgCr,2098,2.0,1040.0,1044,2,240000
7,1980-2000,Gd,0,CollgCr,1661,2.0,1649.0,1661,2,224900
6,après 2000,Gd,0,CollgCr,848,2.0,848.0,848,1,143750
6,après 2000,Gd,0,CollgCr,848,2.0,848.0,848,1,143000
8,après 2000,Gd,1,CollgCr,1668,2.0,1657.0,1668,2,232000
7,après 2000,Gd,0,CollgCr,1484,2.0,1473.0,1484,2,213000
7,après 2000,Gd,0,CollgCr,1414,2.0,1414.0,1414,2,185500
3,1900-1950,TA,0,Edwards,640,1.0,0.0,640,1,84900
5,1950-1980,TA,0,Edwards,992,1.0,381.0,992,1,155891
5,1950-1980,TA,0,Edwards,1664,0.0,0.0,1664,2,100000
5,1950-1980,TA,0,Edwards,1196,1.0,1196.0,1196,1,144000
4,1900-1950,Fa,0,Edwards,1120,2.0,744.0,792,1,64000
6,1950-1980,TA,1,Edwards,1096,1.0,1008.0,1096,1,125200
6,1950-1980,TA,1,Edwards,1117,2.0,1029.0,1117,1,107000
4,1950-1980,TA,0,Edwards,960,0.0,960.0,960,1,90000
4,après 2000,TA,0,Edwards,1121,2.0,1121.0,1121,2,140000
6,1900-1950,TA,1,Edwards,1487,1.0,735.0,798,1,113000
4,1900-1950,Fa,0,Edwards,924,1.0,672.0,672,1,80000
5,1950-1980,TA,1,Edwards,1526,1.0,1216.0,1526,1,144500
5,1900-1950,Fa,1,SWISU,1296,1.0,1107.0,1296,2,104000
6,1900-1950,Fa,0,SWISU,1647,1.0,806.0,841,1,128000
3,1900-1950,TA,0,Edwards,864,1.0,864.0,864,1,58500
5,1900-1950,Gd,1,SWISU,1691,1.0,1026.0,1026,2,127000
6,1900-1950,TA,1,SWISU,856,2.0,856.0,856,1,126000
4,1950-1980,TA,0,SWISU,2650,0.0,0.0,862,3,160000
5,1900-1950,TA,1,SWISU,1666,0.0,894.0,894,1,100000
6,1900-1950,Gd,1,SWISU,2447,1.0,804.0,1699,2,169000
7,1900-1950,TA,1,Crawfor,2133,1.0,1528.0,1225,1,257500
5,1900-1950,TA,0,Crawfor,2177,2.0,1032.0,1102,2,215000
7,1900-1950,Gd,1,Crawfor,2340,1.0,1152.0,1188,2,266500
7,1950-1980,Ex,1,Crawfor,1902,2.0,1902.0,1902,2,335000
7,1980-2000,Gd,0,Crawfor,1652,2.0,423.0,896,2,203135
8,1980-2000,Gd,1,Blueste,1034,2.0,982.0,1034,1,185000
8,1980-2000,Gd,1,Blueste,1191,2.0,1191.0,1191,2,162500
7,1950-1980,TA,1,Crawfor,1801,2.0,1501.0,1801,2,289000
4,1900-1950,Gd,0,IDOTRR,1154,1.0,796.0,796,1,125500
2,1900-1950,TA,0,IDOTRR,540,1.0,480.0,540,1,82000
6,1900-1950,TA,0,IDOTRR,1107,1.0,629.0,727,1,110000
4,1900-1950,TA,0,IDOTRR,1128,2.0,698.0,698,1,68400
4,avant 1900,TA,0,IDOTRR,1178,1.0,859.0,859,1,102776
5,1950-1980,Fa,0,IDOTRR,1044,2.0,540.0,1044,1,55993
8,après 2000,Gd,1,Crawfor,1646,2.0,1594.0,1646,2,246000
8,1980-2000,Gd,1,Mitchel,1916,3.0,1049.0,1036,2,254900
6,1950-1980,Gd,1,Mitchel,1285,2.0,1243.0,1285,2,190000
7,après 2000,Gd,0,Mitchel,1560,2.0,1560.0,1560,2,201000
6,1950-1980,TA,0,Mitchel,1034,3.0,1012.0,1034,1,169900
6,1950-1980,TA,0,Mitchel,2048,2.0,1958.0,2048,3,170000
5,1900-1950,TA,1,Timber,1687,2.0,747.0,1687,1,160000
7,après 2000,Gd,1,Timber,1346,3.0,1336.0,1346,2,220000
7,après 2000,Gd,0,Timber,1214,2.0,1214.0,1214,2,179781
5,après 2000,TA,0,Timber,1444,2.0,384.0,744,2,174000
8,après 2000,Ex,1,Timber,1968,3.0,774.0,774,2,269500
7,après 2000,Gd,1,Timber,1894,2.0,817.0,824,2,214900
8,après 2000,Gd,0,Timber,1908,2.0,967.0,993,2,202900
9,après 2000,Ex,1,Timber,2018,3.0,2002.0,2018,2,378500
5,1950-1980,TA,1,Mitchel,1264,2.0,1068.0,1264,1,169000
5,après 2000,Gd,0,Mitchel,1430,2.0,1430.0,1430,2,173500
6,1950-1980,TA,0,Mitchel,1824,0.0,912.0,912,2,139000
5,1980-2000,TA,1,Mitchel,1344,2.0,1344.0,1344,2,166500
4,1950-1980,TA,0,MeadowV,1092,1.0,546.0,546,1,83500
5,1950-1980,TA,1,MeadowV,945,1.0,945.0,945,1,119500
5,1950-1980,TA,0,MeadowV,1112,1.0,536.0,536,1,85000
4,1950-1980,TA,0,MeadowV,1092,0.0,546.0,546,1,76000
4,1950-1980,TA,0,MeadowV,630,0.0,630.0,630,1,75500
4,1950-1980,TA,0,MeadowV,1092,0.0,546.0,546,1,88250
4,1950-1980,TA,0,MeadowV,1092,1.0,546.0,546,1,85500
5,1950-1980,TA,0,Mitchel,874,1.0,864.0,874,1,130000
5,1950-1980,TA,0,Mitchel,1188,1.0,1188.0,1188,1,157900
5,1980-2000,Gd,0,Mitchel,833,2.0,833.0,833,1,149900
5,1980-2000,TA,0,Mitchel,2432,2.0,1216.0,1216,4,159000
5,1980-2000,TA,0,Mitchel,1274,2.0,624.0,624,1,136000
5,1950-1980,TA,0,Mitchel,1479,1.0,864.0,864,2,161000
8,1980-2000,Gd,1,Mitchel,1803,2.0,1679.0,1803,2,285000
6,1980-2000,Gd,1,Mitchel,1797,2.0,1152.0,1152,2,231000
6,1950-1980,TA,0,NAmes,882,1.0,882.0,882,1,124500
6,1950-1980,TA,1,NAmes,1434,2.0,1434.0,1434,2,157000
8,1950-1980,Ex,1,NAmes,2704,2.0,1952.0,2000,2,345000
6,1980-2000,TA,1,Gilbert,1608,2.0,945.0,945,2,189500
8,après 2000,Gd,1,Gilbert,2283,3.0,1008.0,1008,2,270000
7,1980-2000,TA,1,Gilbert,1628,2.0,384.0,958,2,189000
9,après 2000,Ex,1,Gilbert,1746,3.0,1746.0,1746,2,377500
7,1980-2000,TA,1,Gilbert,1474,2.0,384.0,804,2,168500
8,après 2000,Gd,1,StoneBr,2522,2.0,2208.0,2522,2,375000
8,1980-2000,Ex,1,StoneBr,1659,2.0,1501.0,1659,2,278000
8,1980-2000,TA,0,StoneBr,1478,2.0,1418.0,1478,2,240000
8,1980-2000,Gd,0,StoneBr,1734,2.0,1587.0,1734,2,239500
7,1980-2000,TA,1,Gilbert,1382,2.0,384.0,751,2,177500
7,1980-2000,TA,1,Gilbert,1718,2.0,832.0,885,2,185000
6,1980-2000,TA,1,Gilbert,1636,2.0,952.0,952,2,191000
6,1980-2000,TA,1,Gilbert,1571,2.0,799.0,799,2,178000
6,1980-2000,TA,1,Gilbert,1470,2.0,680.0,680,2,185000
6,1980-2000,Gd,1,Gilbert,1516,2.0,707.0,707,2,181316
6,1980-2000,Gd,1,Gilbert,1190,2.0,1181.0,1190,2,166000
6,1980-2000,TA,1,Gilbert,1593,2.0,808.0,808,2,178000
6,1980-2000,TA,1,Gilbert,1481,2.0,702.0,702,2,174000
6,1980-2000,Gd,0,Gilbert,1167,2.0,1158.0,1167,2,173000
7,1980-2000,Gd,1,Gilbert,1983,2.0,978.0,1005,2,225000
7,1980-2000,TA,0,Gilbert,1442,2.0,1424.0,1442,2,180500
8,1980-2000,Gd,1,StoneBr,1360,2.0,1220.0,1360,1,187500
9,après 2000,Ex,1,StoneBr,2234,3.0,2216.0,2234,2,501837
8,après 2000,Gd,1,StoneBr,2046,3.0,2046.0,2046,2,372500
7,après 2000,Gd,1,StoneBr,1530,2.0,1530.0,1530,2,260000
